,player_name,team,G,xHG,xPCT,HG,PCT
546,Adrian Houser,MIL,17,0,0.0,1,5.88235294117647
569,Luis Perdomo,SD,7,0,0.0,1,14.285714285714285
599,Seth Lugo,NYM,1,0,0.0,1,100.0
600,John Means,BAL,2,0,0.0,1,50.0
610,Lucas Giolito,CWS,2,0,0.0,1,50.0
611,Zach Green,SF,7,0,0.0,1,14.285714285714285
612,Cole Irvin,PHI,6,0,0.0,1,16.666666666666664
616,Lucas Sims,CIN,5,0,0.0,1,20.0
632,Austin Voth,WSH,6,0,0.0,1,16.666666666666664
657,Alec Mills,CHC,7,0,0.0,1,14.285714285714285
682,Chris Shaw,SF,14,0,0.0,1,7.142857142857142
683,Alex Young,ARI,16,0,0.0,1,6.25
696,Antonio Senzatela,COL,24,0,0.0,1,4.166666666666666
699,Elieser Hernandez,MIA,15,0,0.0,1,6.666666666666667
702,Jesus Tinoco,COL,6,0,0.0,1,16.666666666666664
705,Chris Flexen,NYM,1,0,0.0,1,100.0
719,Ranger Suarez,PHI,4,0,0.0,1,25.0
724,Nick Ciuffo,TB,3,0,0.0,1,33.33333333333333
764,Jon Duplantier,ARI,7,0,0.0,1,14.285714285714285
773,Brad Keller,KC,3,0,0.0,1,33.33333333333333
781,Kyle McGowin,WSH,3,0,0.0,1,33.33333333333333
786,Jacob Nottingham,MIL,5,0,0.0,1,20.0
808,Dennis Santana,LAD,2,0,0.0,1,50.0
818,Johnny Davis,TB,2,0,0.0,1,50.0
872,Connor Joe,SF,8,0,0.0,1,12.5
875,Brendan McKay,TB,6,0,0.0,1,16.666666666666664
892,Jordan Yamamoto,MIA,16,0,0.0,1,6.25
894,Logan Webb,SF,6,0,0.0,1,16.666666666666664
897,Montana DuRapau,PIT,3,0,0.0,1,33.33333333333333
898,Caleb Ferguson,LAD,2,0,0.0,1,50.0
912,Logan Allen,SD,3,0,0.0,1,33.33333333333333
