Year,Tm,WAR,Salary,Position
2000,CLE,-0.1,"$7,911,948",P
2000,ARI,3.4,"$5,375,000",CF
2000,TBD,,,P
2000,TBD,-0.5,"$2,947,410",C
2000,TOR,2.3,"$2,500,000",C
2000,BOS,0.0,"$1,350,000",P
2000,FLA,2.7,"$4,500,000",LF
2000,NYY,,,P
2000,2TM,2.0,"$675,000",C
2000,MON,0.0,,P
2000,CHW,0.0,"$375,000",P
2000,2TM,-0.3,"$750,000",SS
2000,NYM,0.0,"$3,350,000",P
2000,Tm,WAR,Salary,
2000,NYM,-0.5,"$462,500",1B
2000,HOU,0.0,,P
2000,TOR,0.0,"$700,000",P
2000,ARI,-0.3,"$243,500",SS
2000,2TM,0.9,"$2,500,000",2B
2000,CLE,4.7,"$5,550,000",3B
2000,TOR,1.6,"$310,000",1B
2000,SFG,0.0,"$200,000",P
2000,ATL,4.0,"$200,000",SS
2000,KCR,0.0,"$210,000",P
2000,ANA,0.0,"$210,000",P
2000,BOS,-0.3,"$350,000",
2000,LAD,0.0,,P
2000,ATL,1.2,"$8,500,000",1B
2000,2TM,2.1,"$5,066,667",LF
2000,BOS,0.0,"$610,000",P
2000,SEA,0.2,"$325,000",P
2000,BAL,0.1,"$201,000",2B
2000,2TM,-0.8,"$700,000",RF
2000,PIT,0.0,,P
2000,BOS,7.4,"$3,700,000",SS
2000,SFG,-0.2,"$3,000,000",P
2000,CHC,-0.1,,P
2000,CHW,0.0,"$200,000",P
2000,OAK,7.8,"$3,103,333",1B
2000,Tm,WAR,Salary,
2000,OAK,0.2,"$228,000",RF
2000,ANA,0.6,"$225,000",SS
2000,LAD,-0.1,,LF
2000,PIT,6.4,"$1,816,667",CF
2000,2TM,-1.1,"$5,450,000",RF
2000,HOU,0.0,,2B
2000,CHW,,,P
2000,SEA,0.2,"$215,000",RF
2000,CHC,1.6,"$2,000,000",C
2000,PHI,0.5,"$2,016,667",CF
2000,CIN,0.0,,P
2000,ANA,7.8,"$275,000",3B
2000,ATL,0.1,"$9,463,237",P
2000,CHC,-0.3,,LF
2000,TEX,0.0,,P
2000,PHI,0.0,"$390,000",P
2000,SDP,-0.2,"$2,600,000",SS
2000,TOR,0.7,"$3,025,000",SS
2000,FLA,-1.9,"$295,000",SS
2000,DET,1.9,"$7,500,000",RF
2000,ARI,4.2,"$3,333,333",LF
2000,CHC,-0.1,,LF
2000,SDP,0.4,"$208,000",C
2000,3TM,-0.1,"$500,000",P
2000,2TM,1.9,"$3,416,667",CF
2000,Tm,WAR,Salary,
2000,CHC,3.1,"$5,300,000",1B
2000,2TM,1.3,"$270,000",2B
2000,CIN,0.2,"$400,000",P
2000,TOR,1.0,"$800,000",2B
2000,HOU,0.0,,P
2000,TEX,-0.7,,CF
2000,LAD,3.1,"$9,416,667",RF
2000,TOR,-0.2,,C
2000,TOR,-0.4,,C
2000,CHC,0.3,"$395,000",3B
2000,TEX,2.1,"$3,600,000",LF
2000,OAK,2.4,"$750,000",LF
2000,CIN,5.5,"$9,329,700",CF
2000,FLA,0.1,,P
