player_name,team,G,xHG,xPCT,HG,PCT
Patrick Corbin,WSH,31,1,3.2,5,16.1
Dereck Rodriguez,SF,17,1,5.9,5,29.4
Matt Strahm,SD,16,1,6.2,5,31.2
Erick Mejia,KC,9,1,11.1,5,55.6
Bobby Wilson,DET,15,1,6.7,4,26.7
Logan Morrison,PHI,29,1,3.4,4,13.8
Yu Darvish,CHC,30,1,3.3,4,13.3
Jordan Lyles,MIL,24,1,4.2,4,16.7
Tanner Roark,CIN,19,1,5.3,4,21.1
Anthony Alford,TOR,13,1,7.7,4,30.8
Aaron Altherr,NYM,40,1,2.5,4,10.0
AJ Reed,CWS,14,1,7.1,4,28.6
Walker Buehler,LAD,29,1,3.4,4,13.8
Patrick Wisdom,TEX,9,1,11.1,4,44.4
Seth Mejias-Brean,SD,14,1,7.1,4,28.6
Braden Bishop,SEA,21,1,4.8,4,19.0
Michael Hermosillo,LAA,13,1,7.7,4,30.8
Dakota Hudson,STL,28,1,3.6,4,14.3
Mike Soroka,ATL,27,1,3.7,4,14.8
Jeff Hoffman,COL,15,1,6.7,4,26.7
Randy Arozarena,STL,12,1,8.3,4,33.3
Chris Archer,PIT,21,1,4.8,3,14.3
Jon Gray,COL,26,1,3.8,3,11.5
Tyler Beede,SF,25,1,4.0,3,12.0
Luis Torrens,SD,7,1,14.3,3,42.9
Tyrone Taylor,MIL,8,1,12.5,3,37.5
Kean Wong,LAA,6,1,16.7,3,50.0
Dinelson Lamet,SD,13,1,7.7,3,23.1
Jhoulys Chacin,MIL,18,1,5.6,2,11.1
Brett Anderson,OAK,3,1,33.3,2,66.7
Rocky Gale,LAD,5,1,20.0,2,40.0
Juan Centeno,BOS,7,1,14.3,2,28.6
Tim Melville,COL,6,1,16.7,2,33.3
Eric Stamets,CLE,14,1,7.1,2,14.3
Tyler Heineman,MIA,5,1,20.0,2,40.0
Dario Agrazal,PIT,13,1,7.7,2,15.4
Zac Gallen,ARI,14,1,7.1,2,14.3
Troy Tulowitzki,NYY,5,1,20.0,1,20.0
Homer Bailey,OAK,3,1,33.3,1,33.3
Merrill Kelly,ARI,29,1,3.4,1,3.4
Marcus Stroman,NYM,12,1,8.3,1,8.3
Luke Weaver,ARI,11,1,9.1,1,9.1
Raudy Read,WSH,5,1,20.0,1,20.0
Deivy Grullon,PHI,4,1,25.0,1,25.0
Walker Lockett,NYM,4,1,25.0,1,25.0
Skye Bolt,OAK,5,1,20.0,1,20.0
Alex Wood,CIN,7,1,14.3,1,14.3
Shaun Anderson,SF,15,1,6.7,1,6.7
Gregory Soto,DET,1,1,100.0,1,100.0
Frank Schwindel,KC,6,1,16.7,1,16.7
Trent Thornton,TOR,1,1,100.0,1,100.0
Jake Odorizzi,MIN,2,1,50.0,0,0.0
Eric Haase,CLE,8,1,12.5,0,0.0
Andrew Stevenson,WSH,29,0,0.0,11,37.9
Miles Mikolas,STL,31,0,0.0,8,25.8
Adrian Sanchez,WSH,24,0,0.0,7,29.2
Sonny Gray,CIN,28,0,0.0,7,25.0
Zach Davies,MIL,31,0,0.0,7,22.6
Jeff Samardzija,SF,29,0,0.0,6,20.7
Dallas Keuchel,ATL,19,0,0.0,5,26.3
Michael Wacha,STL,22,0,0.0,5,22.7
Sandy Alcantara,MIA,31,0,0.0,5,16.1
Chris Paddack,SD,24,0,0.0,5,20.8
Rajai Davis,NYM,21,0,0.0,4,19.0
Chase Anderson,MIL,27,0,0.0,4,14.8
Travis Jankowski,SD,16,0,0.0,4,25.0
Eric Lauer,SD,28,0,0.0,4,14.3
Tony Gonsolin,LAD,8,0,0.0,4,50.0
Taylor Clarke,ARI,15,0,0.0,4,26.7
Rich Hill,LAD,10,0,0.0,3,30.0
Jason Vargas,PHI,24,0,0.0,3,12.5
Jose Pirela,PHI,14,0,0.0,3,21.4
Christian Colon,CIN,8,0,0.0,3,37.5
Tyler Chatwood,CHC,16,0,0.0,3,18.8
Trevor Bauer,CIN,11,0,0.0,3,27.3
Ronald Torreyes,MIN,7,0,0.0,3,42.9
Donnie Walton,SEA,6,0,0.0,3,50.0
Tzu-Wei Lin,BOS,8,0,0.0,3,37.5
Julio Urias,LAD,14,0,0.0,3,21.4
Joey Lucchesi,SD,28,0,0.0,3,10.7
Trevor Richards,MIA,19,0,0.0,3,15.8
Nick Margevicius,SD,12,0,0.0,3,25.0
Ross Stripling,LAD,14,0,0.0,2,14.3
Steven Baron,PIT,6,0,0.0,2,33.3
Mike Foltynewicz,ATL,19,0,0.0,2,10.5
Jameson Taillon,PIT,5,0,0.0,2,40.0
Nick Pivetta,PHI,14,0,0.0,2,14.3
Joe Ross,WSH,11,0,0.0,2,18.2
Erick Fedde,WSH,12,0,0.0,2,16.7
Kyle Freeland,COL,18,0,0.0,2,11.1
Cal Quantrill,SD,18,0,0.0,2,11.1
Andrew Velazquez,CLE,12,0,0.0,2,16.7
Abiatal Avelino,SF,4,0,0.0,2,50.0
Edmundo Sosa,STL,7,0,0.0,2,28.6
Tyler Mahle,CIN,21,0,0.0,2,9.5
Freddy Peralta,MIL,10,0,0.0,2,20.0
Zack Godley,TOR,14,0,0.0,2,14.3
Alex McRae,PIT,6,0,0.0,2,33.3
Bryse Wilson,ATL,5,0,0.0,2,40.0
Corbin Burnes,MIL,5,0,0.0,2,40.0
Jake Noll,WSH,8,0,0.0,2,25.0
Francisco Liriano,PIT,2,0,0.0,1,50.0
Jesse Chavez,TEX,1,0,0.0,1,100.0
Wilkin Castillo,MIA,2,0,0.0,1,50.0
Junior Guerra,MIL,3,0,0.0,1,33.3
David Price,BOS,1,0,0.0,1,100.0
Hector Noesi,MIA,3,0,0.0,1,33.3
Gio Gonzalez,MIL,18,0,0.0,1,5.6
Jeremy Hellickson,WSH,8,0,0.0,1,12.5
Mike Leake,ARI,11,0,0.0,1,9.1
Trevor Cahill,LAA,2,0,0.0,1,50.0
Derek Holland,CHC,12,0,0.0,1,8.3
Danny Duffy,KC,2,0,0.0,1,50.0
Will Smith,SF,2,0,0.0,1,50.0
Wilmer Font,NYM,3,0,0.0,1,33.3
Tyler Anderson,COL,5,0,0.0,1,20.0
Brad Brach,CHC,5,0,0.0,1,20.0
Oliver Drake,TB,1,0,0.0,1,100.0
Drew Gagnon,NYM,2,0,0.0,1,50.0
Mike Montgomery,KC,5,0,0.0,1,20.0
Matthew Boyd,DET,1,0,0.0,1,100.0
David Freitas,MIL,17,0,0.0,1,5.9
Kevin Gausman,ATL,14,0,0.0,1,7.1
Chi Chi Gonzalez,COL,12,0,0.0,1,8.3
Drew Robinson,STL,5,0,0.0,1,20.0
Brock Stewart,LAD,2,0,0.0,1,50.0
Marco Gonzales,SEA,2,0,0.0,1,50.0
Mike Gerber,SF,9,0,0.0,1,11.1
R.J. Alaniz,CIN,1,0,0.0,1,100.0
Daniel Norris,DET,3,0,0.0,1,33.3
John Brebbia,STL,1,0,0.0,1,100.0
Adrian Houser,MIL,17,0,0.0,1,5.9
Luis Perdomo,SD,7,0,0.0,1,14.3
Seth Lugo,NYM,1,0,0.0,1,100.0
John Means,BAL,2,0,0.0,1,50.0
Lucas Giolito,CWS,2,0,0.0,1,50.0
Zach Green,SF,7,0,0.0,1,14.3
Cole Irvin,PHI,6,0,0.0,1,16.7
Lucas Sims,CIN,5,0,0.0,1,20.0
Austin Voth,WSH,6,0,0.0,1,16.7
Alec Mills,CHC,7,0,0.0,1,14.3
Chris Shaw,SF,14,0,0.0,1,7.1
Alex Young,ARI,16,0,0.0,1,6.2
Antonio Senzatela,COL,24,0,0.0,1,4.2
Elieser Hernandez,MIA,15,0,0.0,1,6.7
Jesus Tinoco,COL,6,0,0.0,1,16.7
Chris Flexen,NYM,1,0,0.0,1,100.0
Ranger Suarez,PHI,4,0,0.0,1,25.0
Nick Ciuffo,TB,3,0,0.0,1,33.3
