Name,Position,School,Division,Games Played (G),At Bats (AB),Runs Scored (R),Hits (H),Doubles (2B),Triples (3B),Home Runs (HR),Runs Batted In (RBI),Stolen Bases (SB),Batting Average (AVG),On-Base Percentage (OBP),Slugging Percentage (SLG),On-Base plus Slugging (OPS),Appearances (G),Innings Pitched (IP),Wins (W),Earned Run Average (ERA),Saves (SV),Strikeouts (K)
Justin Humenay,RHP,Virginia Commonwealth University,NCAA: Division 1,0,0,0,0,0,0,0,0,0,,,,,6,5.2,0,11.12,0,7
Dawson Hurford,RHP,Western Nebraska,JUCO: Division 1,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,7.1,1,8.59,0,5
Will Ireland,IF,Orange Coast College,California CC,2,6,0,2,0,0,0,1,1,0.333,0.333,0.333,0.666,0,0.0,0,0.0,0,0
Josh Ironside,RHP,Marshalltown,JUCO: Division 1,6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,18.0,0,10.0,0,5
Connor Irvine,RHP,Lassen College,California CC,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,12.0,1,5.25,0,14
Will Jackman,RHP,Niagara County,JUCO: Division 3,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,8.2,2,1.04,0,3
Jacob Jackson,INF,Siena Heights University,NAIA,19,0,2,11,1,1,0,8,0,0.275,0.318,0.35,0.668,0,,0,,0,0
Spencer Jamieson,1B,Cleary University,NAIA,2,0,0,1,0,0,0,0,0,1.0,1.0,1.0,2.0,0,,0,,0,0
Andrew Jawdek,RHP,Cleary University,NAIA,0,0,0,0,0,0,0,0,0,,,,,5,4.1,0,10.38,0,2
AJ Karosas,IF,Erie,JUCO: Division 3,25,63,14,23,4,1,2,15,1,0.365,0.481,0.556,1.037,0,0.0,0,0.0,0,0
Logan Keating,OF,Three Rivers,JUCO: Division 1,2,2,2,1,1,0,0,0,0,0.5,0.667,1.0,1.667,0,0.0,0,0.0,0,0
Kendell Keller,OF,Barton,JUCO: Division 1,6,11,1,1,0,0,0,0,0,0.091,0.167,0.091,0.258,0,0.0,0,0.0,0,0
Reece Keller,RHP,McCook,JUCO: Division 1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0
Azhar Khan,P,Bryant & Stratton College (WI),JUCO: Division 2,5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5,7.2,1,8.22,0,7
Rei Kimura,IF,Western Nebraska,JUCO: Division 1,7,13,2,2,0,0,0,2,0,0.154,0.214,0.154,0.368,0,0.0,0,0.0,0,0
Stephen Kinal,RHP,Palm Beach State,JUCO: Division 1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0
Colbey Klepper,RHP,Lamar,JUCO: Division 1,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,7.0,1,12.86,0,9
Brady Kobitowich,RHP,Cloud County,JUCO: Division 1,6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,8.2,1,3.12,0,8
Justin L'Archeveque,INF,Indian Hills,JUCO: Division 1,7,22,4,3,1,0,0,4,0,0.136,0.24,0.182,0.422,0,0.0,0,0.0,0,0
Noah LaLonde,OF,Niagara County,JUCO: Division 3,5,9,2,1,0,0,0,1,1,0.111,0.111,0.111,0.222,0,0.0,0,0.0,0,0
Mathieu Laroche,C/OF,Douglas,NW Athletic Conference,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0
Olivier Laroque,RHP,Cowley,JUCO: Division 1,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,5.0,1,5.4,0,6
Tyler Lawrence,RHP,Marshalltown,JUCO: Division 1,9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9,11.1,0,15.88,0,7
Tom Leathem,RHP,Marshalltown,JUCO: Division 1,6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,23.1,1,11.19,0,11
Charles Lefebvre,RHP,Indian Hills,JUCO: Division 1,7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,7,19.1,1,4.66,0,13
Ryan Leitch,C,Marshall University,NCAA: Division 1,20,72,11,19,0,0,7,18,3,0.264,0.349,0.556,0.905,0,,0,,0,0
Jarod Leroux,RHP,Cloud County,JUCO: Division 1,6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,10.1,0,6.1,0,17
Adam Letson,RHP,Lakeland,JUCO: Division 2,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,5.2,0,3.18,0,7
Jordan Lewis,OF,Union College,NAIA,26,0,11,13,3,0,1,3,0,0.277,0.358,0.404,0.762,0,,0,,0,0
Jeff Liddell,RHP,Connors State,JUCO: Division 1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0
Rob Lindsay,RHP/OF,Rend Lake,JUCO: Division 1,4,2,0,0,0,0,0,0,2,0.0,0.333,0.0,0.333,0,0.0,0,0.0,0,0
Thomas Little,LHP,Northern Oklahoma Enid,JUCO: Division 2,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,4.1,0,12.46,0,4
Cruz Lopez,C,Genesee,JUCO: Division 3,3,3,1,1,0,0,0,0,0,0.333,0.5,0.333,0.833,0,0.0,0,0.0,0,0
Eric Luchies,LHP/1B,Lower Columbia,NW Athletic Conference,12,39,7,16,4,1,1,12,1,0.41,0.5,0.641,1.141,0,0.0,0,0.0,0,0
Jaryd Lund,LHP,Salem University,NCAA: Division 2,0,0,0,0,0,0,0,0,0,,,,,6,25.2,1,4.91,0,17
Jordan Lussier,RHP,Illinois State University,NCAA: Division 1,0,0,0,0,0,0,0,0,0,,,,,10,48.0,5,4.12,0,45
Nolan MacDonald,RHP,Douglas,NW Athletic Conference,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0
Mike MacDougall,RHP,University of Indianapolis,NCAA: Division 2,0,0,0,0,0,0,0,0,0,,,,,2,2.0,0,0.0,0,1
