Name,Position,School,Division,Games Played (G),At Bats (AB),Runs Scored (R),Hits (H),Doubles (2B),Triples (3B),Home Runs (HR),Runs Batted In (RBI),Stolen Bases (SB),Batting Average (AVG),On-Base Percentage (OBP),Slugging Percentage (SLG),On-Base plus Slugging (OPS),Appearances (G),Innings Pitched (IP),Wins (W),Earned Run Average (ERA),Saves (SV),Strikeouts (K)
Nolan Machibroda,1B,Lubbock Christian University,NCAA: Division 2,33,109,12,25,7,0,2,16,1,0.229,0.364,0.349,0.713,0,,0,,0,0
Hayden Malenfant,RHP,Southeast Missouri State University,NCAA: Division 1,0,0,0,0,0,0,0,0,0,,,,,7,9.1,1,5.79,0,7
Josh Marchese,1B/DH,Niagara University,NCAA: Division 1,6,14,2,2,0,0,1,4,0,0.143,0.25,0.357,0.607,0,,0,,0,0
Spencer Marcus,OF,Niagara University,NCAA: Division 1,17,30,4,5,1,0,0,3,2,0.167,0.212,0.2,0.412,0,,0,,0,0
Jordan Marks,RHP,"University of South Carolina, Upstate",NCAA: Division 1,0,0,0,0,0,0,0,0,0,,,,,10,69.0,7,1.57,0,80
Aidan Massad,RHP,Alderson Broaddus University,NCAA: Division 2,0,0,0,0,0,0,0,0,0,,,,,5,23.1,3,1.54,0,33
Mackenzie Mather,C,State University of New York at Canton,NCAA: Division 3,5,7,0,1,0,0,0,1,0,0.143,0.25,0.143,0.393,0,,0,,0,0
Kyle Maves,INF/OF,Quinnipiac University,NCAA: Division 1,14,41,9,12,2,0,0,4,4,0.293,0.37,0.341,0.711,0,,0,,0,0
Jared McCorrister,IF/C,Mayville State University,NAIA,41,0,29,47,17,2,7,37,0,0.296,0.365,0.56,0.925,0,,0,,0,0
Adam McKillican,RHP,Georgia Gwinnett College,NAIA,0,0,0,0,0,0,0,0,0,,,,,13,35.0,3,4.37,2,40
David Mendham,INF/C,University of South Carolina,NCAA: Division 1,37,128,18,35,7,1,4,22,0,0.273,0.351,0.438,0.789,0,,0,,0,0
Jack Moncur,IF,Rensselaer Polytechnic Institute,NCAA: Division 3,0,0,0,0,0,0,0,0,0,,,,,0,,0,,0,0
Wesley Moore,LHP,Kansas State University,NCAA: Division 1,0,0,0,0,0,0,0,0,0,,,,,2,0.2,0,0.0,0,1
Steven Moretto,INF,Sacramento State University,NCAA: Division 1,34,112,21,27,10,0,6,25,1,0.241,0.343,0.491,0.834,0,,0,,0,0
Zach Newman,LHP,Minot State University,NCAA: Division 2,0,0,0,0,0,0,0,0,0,,,,,7,25.2,2,6.66,0,23
Drew Nixon,INF,Valley City State University,NAIA,37,0,12,31,12,0,3,23,0,0.261,0.328,0.437,0.765,0,,0,,0,0
Reed Odland,C,"University of Arkansas, Monticello",NCAA: Division 2,2,3,0,1,1,0,0,2,0,0.333,0.333,0.667,1.0,0,,0,,0,0
Alex Orenczuk,OF,"Louisiana State University, Alexandria",NAIA,35,0,34,38,8,3,6,28,0,0.325,0.424,0.598,1.022,0,,0,,0,0
Riley Perks,OF,Freed-Hardeman University,NAIA,32,0,16,23,7,0,1,14,0,0.291,0.42,0.418,0.838,0,,0,,0,0
Kyle Perrett,RHP,University of Northwestern Ohio,NAIA,0,0,0,0,0,0,0,0,0,,,,,13,11.0,1,2.45,0,11
Corben Peters,RHP,Grambling State University,NCAA: Division 1,0,0,0,0,0,0,0,0,0,,,,,11,10.2,0,6.75,1,7
Nathan Picchioni,RHP,Lawrence Technological University,NAIA,7,0,5,9,0,1,0,7,0,0.5,0.55,0.611,1.161,0,,0,,0,0
Adam Plouffe,OF,Mars Hill University,NCAA: Division 2,7,19,5,4,1,0,0,2,0,0.211,0.348,0.263,0.611,0,,0,,0,0
Matteo Porcellato,INF,Marian University,NAIA,45,0,38,49,11,1,1,26,0,0.322,0.464,0.428,0.892,0,,0,,0,0
Jacob Potter,RHP,Southeastern Oklahoma State University,NCAA: Division 2,0,0,0,0,0,0,0,0,0,,,,,9,47.1,2,5.32,0,42
Spencer Rankin,C,Missouri Valley College,NAIA,28,0,13,23,3,0,5,23,0,0.324,0.398,0.577,0.975,0,,0,,0,0
Reece Reading,UT,"University of Arkansas, Monticello",NCAA: Division 2,0,0,0,0,0,0,0,0,0,,,,,0,,0,,0,0
Matt Reyes,INF/C,Graceland University,NAIA,42,0,30,47,13,2,7,36,0,0.376,0.506,0.68,1.186,0,,0,,0,0
Tommy Reyes-Cruz,INF,Faulkner University,NAIA,35,0,27,33,6,1,2,28,0,0.306,0.425,0.435,0.86,0,,0,,0,0
Noah Richardson,P/1B/OF,Northern Kentucky University,NCAA: Division 1,10,0,0,0,0,0,0,0,0,,,,,0,,0,,0,0
Noah Richardson,P/1B/OF,Northern Kentucky University,NCAA: Division 1,0,0,0,0,0,0,0,0,0,,,,,10,39.2,2,4.54,1,50
Spenser Ross,IF,Lawrence University,NCAA: Division 3,20,74,18,23,3,0,0,12,6,0.311,0.464,0.351,0.815,0,,0,,0,0
Ashton Roy,INF,New Mexico Highlands University,NCAA: Division 2,25,82,19,22,4,0,5,13,0,0.268,0.384,0.5,0.884,0,,0,,0,0
Luigi Russo,1B,Ohio Wesleyan University,NCAA: Division 3,19,55,8,11,2,0,0,5,1,0.2,0.237,0.236,0.473,0,,0,,0,0
Liam Sabiston,RHP,Eastern New Mexico University,NCAA: Division 2,0,0,0,0,0,0,0,0,0,,,,,12,27.1,0,12.18,0,19
Aidan Safar,RHP,Rensselaer Polytechnic Institute,NCAA: Division 3,0,0,0,0,0,0,0,0,0,,,,,0,,0,,0,0
Aidan Safar,RHP,Rensselaer Polytechnic Institute,NCAA: Division 3,0,0,0,0,0,0,0,0,0,,,,,0,,0,,0,0
Adam Senden,P/1B,Mayville State University,NAIA,38,0,17,27,7,0,5,25,0,0.252,0.347,0.458,0.805,0,,0,,0,0
Adam Senden,P/1B,Mayville State University,NAIA,0,0,0,0,0,0,0,0,0,,,,,7,21.0,3,4.29,0,21
Will Sierra,RHP,Washington State University,NCAA: Division 1,0,0,0,0,0,0,0,0,0,,,,,13,21.1,2,6.75,1,26
Garner Spoljaric,RHP,Stetson University,NCAA: Division 1,0,0,0,0,0,0,0,0,0,,,,,10,9.2,0,5.59,1,13
Jordan Stamp,LHP,Rogers State University,NCAA: Division 2,0,0,0,0,0,0,0,0,0,,,,,0,,0,,0,0
Nathan Stark,RHP,Doane University,NAIA,0,0,0,0,0,0,0,0,0,,,,,3,5.2,0,11.12,0,6
Garrett Takamatsu,C/IF,University of Central Oklahoma,NCAA: Division 2,26,95,23,39,7,1,5,24,5,0.411,0.496,0.663,1.159,0,,0,,0,0
Cal Theal,RHP,Niagara University,NCAA: Division 1,0,0,0,0,0,0,0,0,0,,,,,0,,0,,0,0
Ben Tighe,RHP,The College of Idaho,NAIA,0,0,0,0,0,0,0,0,0,,,,,14,31.2,0,8.53,1,16
Cole Tucker,INF,Niagara University,NCAA: Division 1,20,56,10,20,5,0,1,10,2,0.357,0.448,0.5,0.948,0,,0,,0,0
Adam Tulloch,LHP,West Virginia University,NCAA: Division 1,0,0,0,0,0,0,0,0,0,,,,,8,29.2,0,6.37,0,43
Matt Turino,OF,Saint Louis University,NCAA: Division 1,28,87,16,19,4,0,3,13,2,0.218,0.407,0.368,0.775,0,,0,,0,0
Max Von Gemmingen,C,Spring Arbor University,NAIA,13,0,1,3,0,0,0,2,0,0.167,0.4,0.167,0.567,0,,0,,0,0
Jayden Wakeham,C,Northern Kentucky University,NCAA: Division 1,27,79,9,22,6,0,1,12,0,0.278,0.326,0.392,0.718,0,,0,,0,0
Parker Walker,C,Midway University,NAIA,15,0,2,11,0,0,1,7,0,0.275,0.4,0.35,0.75,0,,0,,0,0
Chris Watson,IN,St. Lawrence University,NCAA: Division 3,11,28,6,7,0,1,0,7,1,0.25,0.45,0.321,0.771,0,,0,,0,0
Lucas Wepf,RHP,University of Louisiana at Monroe,NCAA: Division 1,0,0,0,0,0,0,0,0,0,,,,,11,22.0,0,3.27,2,23
Robbie Wilkes,INF,University of Evansville,NCAA: Division 1,0,0,0,0,0,0,0,0,0,,,,,0,,0,,0,0
Malik Williams,INF,Lipscomb University,NCAA: Division 1,28,104,12,29,7,1,1,14,0,0.279,0.324,0.394,0.718,0,,0,,0,0
Jason Willow,OF/INF,"University of California, Santa Barbara",NCAA: Division 1,37,113,17,30,6,0,2,27,8,0.265,0.323,0.372,0.695,0,,0,,0,0
Brantt Wood,IF,Mayville State University,NAIA,9,0,2,3,1,0,0,1,0,0.25,0.25,0.333,0.583,0,,0,,0,0
Kaiden Zacharias,OF,Asbury University,NAIA,39,0,16,28,4,3,1,27,0,0.264,0.361,0.387,0.748,0,,0,,0,0
Kevin Zhang,RHP,Cedarville University,NCAA: Division 2,0,0,0,0,0,0,0,0,0,,,,,8,14.2,1,6.14,0,9
Aris Zimakas,LHP,Oakland University,NCAA: Division 1,0,0,0,0,0,0,0,0,0,,,,,5,2.1,0,15.43,0,2
Zach Zinck,RHP,Ave Maria University,NAIA,0,0,0,0,0,0,0,0,0,,,,,5,15.0,2,4.8,0,11
Jack Anderson,LHP,Hofstra University,NCAA: Division 1,0,0,0,0,0,0,0,0,0,,,,,0,,0,,0,0
Kyle Angielski,OF/C,Presentation College,NAIA,45,0,16,30,4,1,2,12,0,0.204,0.253,0.286,0.539,0,,0,,0,0
Sam Avila,IF,Southwest Baptist University,NCAA: Division 2,29,92,20,28,8,2,0,18,2,0.304,0.435,0.435,0.87,0,,0,,0,0
Tyrus Barclay,C,University of Mary,NCAA: Division 2,23,76,15,22,5,1,2,11,2,0.289,0.353,0.461,0.814,0,,0,,0,0
Alex Bedard,OF,Southwestern Oklahoma State University,NCAA: Division 2,31,130,43,51,8,5,3,29,26,0.392,0.466,0.6,1.066,0,,0,,0,0
Dylan Bells,LHP,St. Mary's University,NCAA: Division 2,0,0,0,0,0,0,0,0,0,,,,,13,59.0,6,4.73,0,51
Danny Berg,OF,Lynn University,NCAA: Division 2,0,0,0,0,0,0,0,0,0,,,,,0,,0,,0,0
Josh Blackwell,RHP,State University of New York Polytechnic Institute,NCAA: Division 3,0,0,0,0,0,0,0,0,0,,,,,2,1.0,0,9.0,0,0
Matt Bondarchuk,OF,"University of Nebraska, Omaha",NCAA: Division 1,14,18,3,2,1,0,0,1,0,0.111,0.2,0.167,0.367,0,,0,,0,0
Dylan Borman,IF,"University of Arkansas, Monticello",NCAA: Division 2,27,101,28,32,7,0,11,31,0,0.317,0.386,0.713,1.099,0,,0,,0,0
Landen Bourassa,RHP,University of San Francisco,NCAA: Division 1,0,0,0,0,0,0,0,0,0,,,,,10,60.2,5,3.12,0,54
Archer Brookman,C/1B,The Ohio State University,NCAA: Division 1,10,29,3,2,0,0,0,1,0,0.069,0.229,0.069,0.298,0,,0,,0,0
Lawson Burnett,IF,Northwood University,NCAA: Division 2,9,23,5,7,1,0,1,4,0,0.304,0.333,0.478,0.811,0,,0,,0,0
Dominic Campeau,C/IB,Hope International University,NAIA,35,0,13,27,6,0,3,21,0,0.265,0.39,0.412,0.802,0,,0,,0,0
Brady Cappe,RHP,Lindsey Wilson College,NAIA,0,0,0,0,0,0,0,0,0,,,,,10,62.2,4,6.03,0,61
Nik Cardinal,P,"California State University, Fresno",NCAA: Division 1,0,0,0,0,0,0,0,0,0,,,,,15,29.1,1,7.98,0,28
Jacob Charron,C,Keiser University,NAIA,30,0,13,9,2,0,1,5,0,0.123,0.293,0.192,0.485,0,,0,,0,0
Matthew Clay,OF,The College of Idaho,NAIA,47,0,35,57,9,1,2,42,0,0.315,0.392,0.409,0.801,0,,0,,0,0
Alex Cull,IF,Albion College,NCAA: Division 3,12,31,5,6,3,1,0,6,0,0.194,0.265,0.355,0.62,0,,0,,0,0
Spencer Davis,RHP,Arizona Christian University,NAIA,0,0,0,0,0,0,0,0,0,,,,,14,23.0,0,7.04,0,22
Cooper Davis,OF,Vanderbilt University,NCAA: Division 1,27,95,13,22,2,0,1,13,1,0.232,0.324,0.284,0.608,0,,0,,0,0
DJ DePiero,LHP,Bradley University,NCAA: Division 1,0,0,0,0,0,0,0,0,0,,,,,0,,0,,0,0
Zach Demchenko,RHP,Friends University,NAIA,0,0,0,0,0,0,0,0,0,,,,,12,73.0,5,4.56,0,59
Zach Diewert,OF,Southeastern University,NAIA,1,0,2,2,1,0,1,1,0,1.0,1.0,3.0,4.0,0,,0,,0,0
Tyler Dobie,IF,Point Park University,NAIA,8,0,1,1,0,0,0,0,0,0.067,0.222,0.067,0.289,0,,0,,0,0
Tyler Duncan,OF,Arkansas State University,NCAA: Division 1,33,129,31,40,9,1,7,38,0,0.31,0.401,0.558,0.959,0,,0,,0,0
Cameron Dyck,RHP,Niagara University,NCAA: Division 1,0,0,0,0,0,0,0,0,0,,,,,0,,0,,0,0
Martin Eckard,RHP,Indiana Tech,NAIA,0,0,0,0,0,0,0,0,0,,,,,12,23.2,1,5.32,2,15
Canice Ejoh,OF,Seton Hill University,NCAA: Division 2,10,15,4,5,0,0,0,3,2,0.333,0.5,0.333,0.833,0,,0,,0,0
Jesse Elliott,INF,University of Charleston,NCAA: Division 2,12,19,6,8,1,0,1,8,2,0.421,0.5,0.632,1.132,0,,0,,0,0
Ben Erwin,RHP,Niagara University,NCAA: Division 1,0,0,0,0,0,0,0,0,0,,,,,5,19.1,2,4.66,0,16
Thomas Espig,LHP,Yale University,NCAA: Division 1,0,0,0,0,0,0,0,0,0,,,,,0,,0,,0,0
Chris Ewanik,INF/OF,Husson University,NCAA: Division 3,19,60,11,21,4,0,2,14,0,0.35,0.443,0.517,0.96,0,,0,,0,0
George Farid,3B,Mississippi College,NCAA: Division 2,32,131,19,39,8,1,2,24,2,0.298,0.363,0.42,0.783,0,,0,,0,0
Zac Fascia,C,Purdue University,NCAA: Division 1,26,84,12,25,6,0,1,14,0,0.298,0.347,0.405,0.752,0,,0,,0,0
Jesse Fishbaum,OF,Cleary University,NAIA,28,0,25,40,8,2,3,13,0,0.377,0.442,0.575,1.017,0,,0,,0,0
Mathieu Gauthier,RHP,West Texas A&M University,NCAA: Division 2,0,0,0,0,0,0,0,0,0,,,,,11,67.2,9,2.79,0,84
Brendan Gerbert,INF,Point University,NAIA,6,0,1,0,0,0,0,0,0,0.0,0.286,0.0,0.286,0,,0,,0,0
Julien Giroux-Harvey,OF/RHP,Saint Michael's College,NCAA: Division 2,12,36,5,7,2,1,0,6,3,0.194,0.31,0.306,0.616,0,,0,,0,0
Julien Giroux-Harvey,OF/RHP,Saint Michael's College,NCAA: Division 2,0,0,0,0,0,0,0,0,0,,,,,3,5.0,0,16.2,0,5
Daniel Gore,RHP,Madonna University,NAIA,0,0,0,0,0,0,0,0,0,,,,,7,26.1,3,5.81,0,22
Shawn Grandmont,IF,Northwest Nazarene University,NCAA: Division 2,28,104,31,35,4,3,6,38,19,0.337,0.442,0.606,1.048,0,,0,,0,0
Andrew Grieder,LHP,Oklahoma Wesleyan University,NAIA,0,0,0,0,0,0,0,0,0,,,,,11,45.1,4,5.56,0,39
Colton Harold,OF,Northwestern College,NAIA,40,0,27,47,10,2,9,38,0,0.333,0.404,0.624,1.028,0,,0,,0,0
Jameson Hart,OF/RHP,William Penn University,NAIA,43,0,23,39,9,2,0,15,0,0.305,0.396,0.406,0.802,0,,0,,0,0
Max Hewitt,C/INF,Oklahoma State University,NCAA: Division 1,36,130,26,36,6,2,2,32,1,0.277,0.361,0.4,0.761,0,,0,,0,0
Matt Hilderbrandt,DH,Limestone University,NCAA: Division 2,15,39,6,10,0,0,3,7,0,0.256,0.37,0.487,0.857,0,,0,,0,0
Jason Hill,INF,Central Washington University,NCAA: Division 2,17,53,13,13,1,1,0,5,0,0.245,0.369,0.302,0.671,0,,0,,0,0
William Hlady,RHP,Valley City State University,NAIA,0,0,0,0,0,0,0,0,0,,,,,15,35.0,4,3.86,2,29
Tyler Hoefer,RHP/INF,Central Washington University,NCAA: Division 2,1,0,0,0,0,0,0,0,0,,,,,0,,0,,0,0
Tyler Hoefer,RHP/INF,Central Washington University,NCAA: Division 2,0,0,0,0,0,0,0,0,0,,,,,1,3.0,0,12.0,0,4
Ryan Humeniuk,OF,University of Louisiana at Monroe,NCAA: Division 1,36,129,22,44,5,1,2,20,13,0.341,0.422,0.442,0.864,0,,0,,0,0
Corey Jackson,RHP,Bellevue University,NAIA,0,0,0,0,0,0,0,0,0,,,,,14,79.0,6,1.94,1,115
Owen Jansen,2B/3B,Saint Leo University,NCAA: Division 2,12,26,4,2,0,1,0,1,0,0.077,0.226,0.154,0.38,0,,0,,0,0
Riley Jepson,OF,University of Texas at Tyler,NCAA: Division 2,37,142,39,50,9,1,5,38,7,0.352,0.475,0.535,1.01,0,,0,,0,0
Ethan Jodouin,1B,Cleary University,NAIA,14,0,2,4,1,0,0,1,0,0.2,0.304,0.25,0.554,0,,0,,0,0
Alex Jones,LHP,Niagara University,NCAA: Division 1,0,0,0,0,0,0,0,0,0,,,,,5,4.2,0,9.64,0,6
Griffin Keller,UTL,Georgia Gwinnett College,NAIA,41,0,56,69,18,3,8,54,0,0.451,0.522,0.765,1.287,0,,0,,0,0
Justin King,OF,University of Louisiana at Monroe,NCAA: Division 1,12,15,1,1,0,0,0,2,0,0.067,0.333,0.067,0.4,0,,0,,0,0
Ben Komonosky,C,University of Evansville,NCAA: Division 1,29,70,14,16,4,0,1,9,0,0.229,0.389,0.329,0.718,0,,0,,0,0
Gibson Krzeminski,OF/3B,Canisius College,NCAA: Division 1,14,42,5,8,0,2,0,8,0,0.19,0.327,0.286,0.613,0,,0,,0,0
Keegan Kwong,OF/RHP,Goshen College,NAIA,13,0,0,0,0,0,0,0,0,0.0,,0.0,,0,,0,,0,0
Keegan Kwong,OF/RHP,Goshen College,NAIA,0,0,0,0,0,0,0,0,0,,,,,13,12.2,0,9.95,0,13
David LeBlanc,OF,Husson University,NCAA: Division 3,19,61,14,21,6,1,1,14,3,0.344,0.406,0.525,0.931,0,,0,,0,0
Marc Lebreux,OF,University of Virginia,NCAA: Division 1,25,58,9,13,1,0,0,5,3,0.224,0.348,0.241,0.589,0,,0,,0,0
Daniel Lichty,IF,Huntington University,NAIA,38,0,33,49,11,2,3,33,0,0.358,0.414,0.533,0.947,0,,0,,0,0
Shaun Logan,,University of Dubuque,NCAA: Division 3,0,0,0,0,0,0,0,0,0,,,,,8,42.0,2,4.71,0,27
Alex MacKinnon,RHP,Niagara University,NCAA: Division 1,0,0,0,0,0,0,0,0,0,,,,,3,5.0,0,5.4,1,3
Matthew Malgi,IF,Saginaw Valley State University,NCAA: Division 2,0,0,0,0,0,0,0,0,0,,,,,0,,0,,0,0
Benjamin Marsh,LHP,State University of New York at Oneonta,NCAA: Division 3,0,0,0,0,0,0,0,0,0,,,,,1,0.1,0,0.0,0,0
Jacob Martins,IF,Canisius College,NCAA: Division 1,9,22,3,8,1,1,0,5,0,0.364,0.375,0.5,0.875,0,,0,,0,0
Parker McRae,RHP,University of Mary,NCAA: Division 2,0,0,0,0,0,0,0,0,0,,,,,0,,0,,0,0
Tate Morrell,OF,Missouri University of Science and Technology,NCAA: Division 2,22,74,11,19,4,0,2,16,2,0.257,0.337,0.392,0.729,0,,0,,0,0
Kobe Morris,INF,Southern Arkansas University,NCAA: Division 2,32,122,37,45,9,0,6,29,16,0.369,0.484,0.59,1.074,0,,0,,0,0
Rhys Morris,RHP,"University of Minnesota, Morris",NCAA: Division 3,0,0,0,0,0,0,0,0,0,,,,,3,4.1,0,4.15,0,2
Noah Myers,OF,University of South Carolina,NCAA: Division 1,14,11,3,1,1,0,0,0,0,0.091,0.286,0.182,0.468,0,,0,,0,0
Jakob Newton,OF,Florida Institute of Technology,NCAA: Division 2,22,71,17,17,0,1,2,14,10,0.239,0.385,0.352,0.737,0,,0,,0,0
Jonah Offman,RHP,Johns Hopkins University,NCAA: Division 3,0,0,0,0,0,0,0,0,0,,,,,5,8.2,1,7.27,0,12
Grant Okawa,IF,University of Jamestown,NAIA,44,0,36,50,13,1,5,15,0,0.323,0.418,0.516,0.934,0,,0,,0,0
Yi-Fan Pan,INF,Central Washington University,NCAA: Division 2,3,7,0,1,0,0,0,0,0,0.143,0.143,0.143,0.286,0,,0,,0,0
Konner Piotto,C,Wright State University,NCAA: Division 1,24,73,12,23,4,0,1,11,0,0.315,0.4,0.411,0.811,0,,0,,0,0
Aaron Pugh,RHP,University of Jamestown,NAIA,0,0,0,0,0,0,0,0,0,,,,,17,17.0,1,2.12,6,23
Tanner Rempel,C,Colorado Mesa University,NCAA: Division 2,15,25,12,11,5,1,1,12,0,0.44,0.576,0.84,1.416,0,,0,,0,0
Devon Robb,RHP,Ohio Dominican University,NCAA: Division 2,0,0,0,0,0,0,0,0,0,,,,,2,2.0,0,4.5,0,2
Daniel Rockwell,INF,Mount Marty College,NAIA,8,0,3,1,0,0,0,1,0,0.25,0.4,0.25,0.65,0,,0,,0,0
Tyler Schindel,OF,San Diego Christian College,NAIA,28,0,8,10,3,0,0,7,0,0.161,0.28,0.21,0.49,0,,0,,0,0
Tyler Scott,IF,Bryan College,NAIA,44,0,39,60,19,0,6,28,0,0.37,0.442,0.599,1.041,0,,0,,0,0
Ari Sechopoulos,1B,College of Charleston,NCAA: Division 1,31,109,21,26,6,0,5,23,4,0.239,0.328,0.431,0.759,0,,0,,0,0
Nick Seginowich,C,Angelo State University,NCAA: Division 2,30,97,31,27,5,1,5,34,5,0.278,0.474,0.505,0.979,0,,0,,0,0
Austin Skelhorn,RHP,Ottawa University,NAIA,0,0,0,0,0,0,0,0,0,,,,,14,20.1,0,6.64,0,21
Ethan Skuija,RHP,"California State University, Bakersfield",NCAA: Division 1,0,0,0,0,0,0,0,0,0,,,,,6,24.0,1,7.12,1,34
Kyle Smyth,RHP,Niagara University,NCAA: Division 1,0,0,0,0,0,0,0,0,0,,,,,4,5.1,0,6.75,0,4
Chase Stewart,RHP,Mercyhurst University,NCAA: Division 2,0,0,0,0,0,0,0,0,0,,,,,8,16.2,3,2.16,0,21
Mat Szabo,RHP,Angelo State University,NCAA: Division 2,0,0,0,0,0,0,0,0,0,,,,,6,10.2,0,6.75,0,19
Austin Tambellini,LHP,"Louisiana State University, Shreveport",NAIA,0,0,0,0,0,0,0,0,0,,,,,6,5.0,0,10.8,0,7
Joe Tevlin,C,Niagara University,NCAA: Division 1,15,37,6,14,2,0,0,5,0,0.378,0.41,0.432,0.842,0,,0,,0,0
Jonathan Thibodeau,C,University of West Alabama,NCAA: Division 2,18,48,2,18,1,0,0,8,0,0.375,0.448,0.396,0.844,0,,0,,0,0
Eric Thrower,OF,Georgetown College,NAIA,37,0,19,40,6,3,1,21,0,0.37,0.457,0.509,0.966,0,,0,,0,0
David Tongue,RHP,Southwest Baptist University,NCAA: Division 2,0,0,0,0,0,0,0,0,0,,,,,11,12.1,0,9.49,0,19
Sam Turcotte,RHP,Stony Brook University,NCAA: Division 1,0,0,0,0,0,0,0,0,0,,,,,9,52.2,5,2.39,0,53
Daniel Warkentin,IF,Eastern Michigan University,NCAA: Division 1,20,55,6,10,1,0,0,3,0,0.182,0.281,0.2,0.481,0,,0,,0,0
Jake Wilson,OF,Liberty University,NCAA: Division 1,37,132,17,34,9,0,1,15,7,0.258,0.327,0.348,0.675,0,,0,,0,0
Tyler Wood,SS,McPherson College,NAIA,37,0,37,37,6,0,4,30,0,0.319,0.449,0.474,0.923,0,,0,,0,0
Max Wright,C/OF,Indiana State University,NCAA: Division 1,32,111,28,33,7,0,10,24,1,0.297,0.455,0.631,1.086,0,,0,,0,0
