title,division,conference,state,location,link,roster_link
Jackson State University,D1,Southwestern,MS,"Jackson, MS",https://gojsutigers.com/index.aspx?path=baseball,https://gojsutigers.com/sports/baseball/roster
Jacksonville State University,D1,Ohio Valley,AL,"Jacksonville, AL",https://jsugamecocksports.com/index.aspx?path=baseball,https://jsugamecocksports.com/sports/baseball/roster
Jacksonville University,D1,ASUN,FL,"Jacksonville, FL",https://judolphins.com/index.aspx?path=baseball,https://judolphins.com/sports/baseball/roster
James Madison University,D1,Colonial,VA,"Harrisonburg, VA",https://jmusports.com/index.aspx?path=baseball,https://jmusports.com/sports/baseball/roster
Kansas State University,D1,Big 12,KS,"Manhattan, KS",https://www.kstatesports.com/index.aspx?path=baseball,https://www.kstatesports.com/sports/baseball/roster
Kennesaw State University,D1,ASUN,GA,"Marietta, GA",https://ksuowls.com/index.aspx?path=baseball,https://ksuowls.com/sports/baseball/roster
Kent State University,D1,Mid-American,OH,"Kent, OH",https://kentstatesports.com/index.aspx?path=baseball,https://kentstatesports.com/sports/baseball/roster
La Salle University,D1,Atlantic 10,PA,"Philadelphia, PA",https://goexplorers.com/index.aspx?path=baseball,https://goexplorers.com/sports/baseball/roster
Lafayette College,D1,Patriot League,PA,"Easton, PA",https://www.goleopards.com/index.aspx?path=baseball,https://www.goleopards.com/sports/baseball/roster
Lamar University,D1,Southland,TX,"Beaumont, TX",https://lamarcardinals.com/index.aspx?path=baseball,https://lamarcardinals.com/sports/baseball/roster
Lehigh University,D1,Patriot League,PA,"Bethlehem, PA",https://lehighsports.com/index.aspx?path=baseball,https://lehighsports.com/sports/baseball/roster
Liberty University,D1,ASUN,VA,"Lynchburg, VA",https://www.liberty.edu/flames/index.cfm?PID=36964&teamID=1,https://www.liberty.edu/flames/index.cfm?PID=36959&teamID=1
Lipscomb University,D1,ASUN,TN,"Nashville, TN",http://www.lipscombsports.com/baseball/,https://lipscombsports.com/sports/baseball/roster
Long Beach State University,D1,Big West,CA,"Long Beach, CA",https://longbeachstate.com/index.aspx?path=baseball,https://longbeachstate.com/sports/baseball/roster
Long Island University,D1,Northeast,NY,"Brooklyn, NY",https://liuathletics.com/index.aspx?path=baseball,https://liuathletics.com/sports/baseball/roster
Longwood University,D1,Big South,VA,"Farmville, VA",https://longwoodlancers.com/index.aspx?path=bball,https://longwoodlancers.com/sports/baseball/roster
Louisiana State University,D1,SEC,LA,"Baton Rouge, LA",http://www.lsusports.net/SportSelect.dbml?SPID=2173&SPSID=27865&DB_OEM_ID=5200,http://www.lsusports.net/sports/baseball/roster
Louisiana Tech University,D1,Conference USA,LA,"Ruston, LA",https://latechsports.com/index.aspx?path=baseball,https://latechsports.com/sports/baseball/roster
Loyola Marymount University,D1,West Coast,CA,"Los Angeles, CA",https://lmulions.com/index.aspx?path=baseball,https://lmulions.com/sports/baseball/roster
Manhattan College,D1,Metro Atlantic,NY,"Bronx, NY",https://gojaspers.com/index.aspx?path=baseball,https://gojaspers.com/sports/baseball/roster
Marist College,D1,Metro Atlantic,NY,"Dutchess County, NY",https://goredfoxes.com/index.aspx?path=baseball,https://goredfoxes.com/sports/baseball/roster
Marshall University,D1,Conference USA,WV,"Huntington, WV",https://herdzone.com/index.aspx?path=baseball,https://herdzone.com/sports/baseball/roster
McNeese State University,D1,Southland,LA,"Lake Charles, LA",https://mcneesesports.com/index.aspx?path=baseball,https://mcneesesports.com/sports/baseball/roster
Mercer University,D1,Southern,GA,"Macon, GA",https://mercerbears.com/index.aspx?path=baseball,https://mercerbears.com/sports/baseball/roster
Merrimack College,D1,Northeast,MA,"North Andover, MA",https://merrimackathletics.com/index.aspx?path=baseball,https://merrimackathletics.com/sports/baseball/roster
